Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10017-101-1,HG-6-64-01,0.37,uM,LJP6,3,M04,72,hr,1389,5545,5740,0.9659,0.9664
50029-3,MCF7,10017-101-1,HG-6-64-01,1.11,uM,LJP6,1,M03,72,hr,1389,5788,5147,1.1245,1.1282
50029-3,MCF7,10017-101-1,HG-6-64-01,1.11,uM,LJP6,2,M03,72,hr,1389,5439,5447,0.9984,0.9983
50029-3,MCF7,10017-101-1,HG-6-64-01,1.11,uM,LJP6,3,M03,72,hr,1389,5222,5740,0.9097,0.9096
50029-3,MCF7,10017-101-1,HG-6-64-01,3.33,uM,LJP6,1,M02,72,hr,1389,3126,5147,0.6073,0.5361
50029-3,MCF7,10017-101-1,HG-6-64-01,3.33,uM,LJP6,2,M02,72,hr,1389,3760,5447,0.6902,0.6571
50029-3,MCF7,10017-101-1,HG-6-64-01,3.33,uM,LJP6,3,M02,72,hr,1389,3462,5740,0.6031,0.5622
50029-3,MCF7,10017-101-1,HG-6-64-01,10,uM,LJP6,1,M01,72,hr,1389,908,5147,0.1764,-0.2015
50029-3,MCF7,10017-101-1,HG-6-64-01,10,uM,LJP6,2,M01,72,hr,1389,930,5447,0.1707,-0.1841
50029-3,MCF7,10017-101-1,HG-6-64-01,10,uM,LJP6,3,M01,72,hr,1389,850,5740,0.1481,-0.2133
50029-3,MCF7,10018-101-1,Neratinib,0.04,uM,LJP5,1,A18,72,hr,1389,3750,5772,0.6496,0.6213
50029-3,MCF7,10018-101-1,Neratinib,0.04,uM,LJP5,3,A18,72,hr,1389,3724,6038,0.6167,0.5923
50029-3,MCF7,10018-101-1,Neratinib,0.12,uM,LJP5,1,A17,72,hr,1389,3487,5772,0.6041,0.5650
50029-3,MCF7,10018-101-1,Neratinib,0.12,uM,LJP5,3,A17,72,hr,1389,4494,6038,0.7442,0.7399
